ville,2021,2014,1998,1988,1975,region,longitude,latitude
Abidjan,5616633.0,4395243.0,2993440.0,1929079.0,951216.0,Abidjan,-4.016107,5.320357
Bouaké,832371.0,608138.0,481638.0,326910.0,175264.0,Gbêkê,-5.0298408,7.6906058
Korhogo,440926.0,286071.0,164401.0,109439.0,45250.0,Poro,-5.6342471,9.4574719
Daloa,421879.0,319427.0,190719.0,121842.0,60837.0,Haut-Sassandra,-6.4516096,6.8766904
San-Pédro,390654.0,261616.0,131800.0,70590.0,31606.0,San-Pédro,-6.641549,4.7581592
Anyama,389592.0,148962.0,79548.0,56690.0,26406.0,Abidjan,-4.056921,5.4958898
Yamoussoukro,340234.0,281735.0,161354.0,106659.0,37253.0,Yamoussoukro,-5.2776034,6.8200066
Divo,294559.0,179455.0,120053.0,72329.0,35610.0,Lôh-Djiboua,-5.3592251,5.8294045
Gagnoa,277044.0,213918.0,123832.0,85501.0,42285.0,Gôh,-5.9517697,6.1329749
Soubré,272773.0,175163.0,89182.0,32817.0,7016.0,Nawa,-6.5928329,5.7852673
Man,241969.0,188704.0,142187.0,89575.0,50288.0,Tonkpi,-4.5591148,54.1936805
Duékoué,220953.0,185344.0,37374.0,27571.0,13297.0,Guémon,-7.425218155057541,6.71397265
Bouaflé,213967.0,167263.0,76081.0,35750.0,17188.0,Marahoué,-5.7444227,6.9926792
Bingerville,204656.0,91319.0,35944.0,28752.0,12527.0,Abidjan,-3.8885591,5.3577727
Guiglo,171454.0,113796.0,64094.0,22328.0,9283.0,Cavally,-7.590903211270477,6.43034025
Lakota,169330.0,77223.0,30154.0,21929.0,12958.0,Lôh-Djiboua,-94.09346,43.3773933
Abengourou,164424.0,135635.0,92821.0,59106.0,30028.0,Indénié-Djuablin,-3.4968431,6.7269042
Ferké,160267.0,120150.0,73010.0,35139.0,24662.0,Tchologo,-5.1975952,9.5939778
Adzopé,156488.0,98846.0,104070.0,36150.0,21147.0,La Mé,-3.861331,6.106654
Méagui,153483.0,132294.0,18093.0,7648.0,,Nawa,-6.5551664,5.4039253
Bondoukou,141568.0,117453.0,44335.0,33325.0,19021.0,Gontougo,-2.7984258,8.0397992
Dabou,138083.0,88430.0,65453.0,38407.0,23134.0,Grands-Ponts,-4.3742639,5.322596
Sinfra,137210.0,130277.0,49297.0,35340.0,17569.0,Marahoué,-5.9089494,6.6167488
Agboville,135082.0,95093.0,82216.0,46324.0,26914.0,Agnéby-Tiassa,-4.2106525,5.931283
Vavoua,132528.0,134651.0,26224.0,22297.0,6957.0,Haut-Sassandra,-6.4759117,7.3829214
Danané,131586.0,104672.0,74344.0,30941.0,19608.0,Tonkpi,-8.1526273,7.2597966
Grand-Béreby,129340.0,98686.0,,,,San-Pédro,-6.9253452,4.6471378
Oumé,127153.0,127850.0,45354.0,28772.0,14032.0,Gôh,-5.4175714,6.3823941
Issia,126252.0,85727.0,56844.0,28821.0,10863.0,Haut-Sassandra,-6.582576,6.4929499
Grand-Bassam,124567.0,84028.0,85093.0,41509.0,27273.0,Sud-Comoé,-3.743226,5.212884
Bloléquin,123133.0,71854.0,24236.0,6608.0,,Cavally,-8.0024301,6.5670733
Okrouyo,120053.0,113366.0,,,,Nawa,-6.407853,5.764425
Bonoua,118388.0,69983.0,31875.0,21436.0,17421.0,Sud-Comoé,-3.5966802,5.2736582
Bonon,116871.0,112629.0,28140.0,19953.0,,Marahoué,-6.0469812,6.9192098
Gabiadji,113369.0,109933.0,,,,San-Pédro,-6.5581129,5.0192211
Grand-Zattry,112049.0,99343.0,,,,Nawa,-6.5422951,6.117955
Zouan-Hounien,111099.0,82434.0,13391.0,6189.0,,Tonkpi,-8.208823,6.918876
Seitifla,109252.0,93430.0,,,,Haut-Sassandra,-6.7181259,7.4392667
Dania,106612.0,77295.0,,,,Haut-Sassandra,10.3333283,55.670249
Séguéla,103980.0,63774.0,50881.0,29149.0,12692.0,Worodougou,-6.675572,7.9662547
Daoukro,101136.0,73134.0,41830.0,21735.0,12575.0,Iffou,-3.9660686,7.0579401
Aboisso,100903.0,86115.0,47343.0,21329.0,13527.0,Sud-Comoé,-3.207610411448566,5.712626
Buyo,100848.0,103217.0,12953.0,7301.0,,Nawa,-7.0057256,6.2507192
Saïoua,100085.0,86423.0,15869.0,23076.0,,Haut-Sassandra,-6.277999,6.485348
